15,16,30,29,
16,17,31,30,
17,18,32,31,
18,19,33,32,
19,20,34,33,
20,21,35,34,
21,22,36,35,
22,23,37,36,
23,24,38,37,
24,25,39,38,
25,26,40,39,
29,30,44,43,
30,31,45,44,
31,32,46,45,
32,33,47,46,
33,34,48,47,
34,35,49,48,
35,36,50,49,
36,37,51,50,
37,38,52,51,
38,39,53,52,
39,40,54,53,
43,44,58,57,
44,45,59,58,
45,46,60,59,
46,47,61,60,
47,48,62,61,
48,49,63,62,
49,50,64,63,
50,51,65,64,
51,52,66,65,
52,53,67,66,
53,54,68,67,
57,58,72,71,
58,59,73,72,
59,60,74,73,
60,61,75,74,
61,62,76,75,
62,63,77,76,
63,64,78,77,
64,65,79,78,
65,66,80,79,
66,67,81,80,
67,68,82,81,
71,72,86,85,
72,73,87,86,
73,74,88,87,
74,75,89,88,
75,76,90,89,
76,77,91,90,
77,78,92,91,
78,79,93,92,
79,80,94,93,
80,81,95,94,
81,82,96,95,
85,86,100,99,
86,87,101,100,
87,88,102,101,
88,89,103,102,
89,90,104,103,
90,91,105,104,
91,92,106,105,
92,93,107,106,
93,94,108,107,
94,95,109,108,
95,96,110,109,
99,100,114,113,
100,101,115,114,
101,102,116,115,
102,103,117,116,
103,104,118,117,
104,105,119,118,
105,106,120,119,
106,107,121,120,
107,108,122,121,
108,109,123,122,
109,110,124,123,
113,114,128,127,
114,115,129,128,
115,116,130,129,
116,117,131,130,
117,118,132,131,
118,119,133,132,
119,120,134,133,
120,121,135,134,
121,122,136,135,
122,123,137,136,
123,124,138,137,
127,128,142,141,
128,129,143,142,
129,130,144,143,
130,131,145,144,
131,132,146,145,
132,133,147,146,
133,134,148,147,
134,135,149,148,
135,136,150,149,
136,137,151,150,
137,138,152,151,
141,142,156,155,
142,143,157,156,
143,144,158,157,
144,145,159,158,
145,146,160,159,
146,147,161,160,
147,148,162,161,
148,149,163,162,
149,150,164,163,
150,151,165,164,
151,152,166,165,
155,156,170,169,
156,157,171,170,
157,158,172,171,
158,159,173,172,
159,160,174,173,
160,161,175,174,
161,162,176,175,
162,163,177,176,
163,164,178,177,
164,165,179,178,
165,166,180,179,
0,1,15,14,
1,2,16,15,
2,3,17,16,
3,4,18,17,
4,5,19,18,
5,6,20,19,
6,7,21,20,
7,8,22,21,
8,9,23,22,
9,10,24,23,
10,11,25,24,
11,12,26,25,
12,13,27,26,
26,27,41,40,
40,41,55,54,
54,55,69,68,
68,69,83,82,
82,83,97,96,
96,97,111,110,
110,111,125,124,
124,125,139,138,
138,139,153,152,
152,153,167,166,
166,167,181,180,
180,181,195,194,
179,180,194,193,
178,179,193,192,
177,178,192,191,
176,177,191,190,
175,176,190,189,
174,175,189,188,
173,174,188,187,
172,173,187,186,
171,172,186,185,
170,171,185,184,
169,170,184,183,
168,169,183,182,
154,155,169,168,
140,141,155,154,
126,127,141,140,
112,113,127,126,
98,99,113,112,
84,85,99,98,
70,71,85,84,
56,57,71,70,
42,43,57,56,
28,29,43,42,
14,15,29,28,
0,1,-1,-1,
1,2,-1,-1,
2,3,-1,-1,
3,4,-1,-1,
4,5,-1,-1,
5,6,-1,-1,
6,7,-1,-1,
7,8,-1,-1,
8,9,-1,-1,
9,10,-1,-1,
10,11,-1,-1,
11,12,-1,-1,
12,13,-1,-1,
13,27,-1,-1,
27,41,-1,-1,
41,55,-1,-1,
55,69,-1,-1,
69,83,-1,-1,
83,97,-1,-1,
97,111,-1,-1,
111,125,-1,-1,
125,139,-1,-1,
139,153,-1,-1,
153,167,-1,-1,
167,181,-1,-1,
181,195,-1,-1,
195,194,-1,-1,
194,193,-1,-1,
193,192,-1,-1,
192,191,-1,-1,
191,190,-1,-1,
190,189,-1,-1,
189,188,-1,-1,
188,187,-1,-1,
187,186,-1,-1,
186,185,-1,-1,
185,184,-1,-1,
184,183,-1,-1,
183,182,-1,-1,
182,168,-1,-1,
168,154,-1,-1,
154,140,-1,-1,
140,126,-1,-1,
126,112,-1,-1,
112,98,-1,-1,
98,84,-1,-1,
84,70,-1,-1,
70,56,-1,-1,
56,42,-1,-1,
42,28,-1,-1,
28,14,-1,-1,
14,0,-1,-1,
