1.0,1.0,1.0,1.0,1.0,
-0.8,-0.4,0.0,0.4,0.8,
0.48,-0.24,-0.48,-0.24,0.48,
-0.8,-0.8,-0.8,-0.8,-0.8,
0.64,0.32,0.0,-0.32,-0.64,
-0.384,0.192,0.384,0.192,-0.384,
0.48,0.48,0.48,0.48,0.48,
-0.384,-0.192,0.0,0.192,0.384,
0.2304,-0.1152,-0.2304,-0.1152,0.2304,

1.0,1.0,1.0,1.0,1.0,
0.8,0.8,0.8,0.8,0.8,
0.48,0.48,0.48,0.48,0.48,
-0.8,-0.4,0.0,0.4,0.8,
-0.64,-0.32,0.0,0.32,0.64,
-0.384,-0.192,0.0,0.192,0.384,
0.48,-0.24,-0.48,-0.24,0.48,
0.384,-0.192,-0.384,-0.192,0.384,
0.2304,-0.1152,-0.2304,-0.1152,0.2304,

1.0,1.0,1.0,1.0,1.0,
0.8,0.4,0.0,-0.4,-0.8,
0.48,-0.24,-0.48,-0.24,0.48,
0.8,0.8,0.8,0.8,0.8,
0.64,0.32,0.0,-0.32,-0.64,
0.384,-0.192,-0.384,-0.192,0.384,
0.48,0.48,0.48,0.48,0.48,
0.384,0.192,0.0,-0.192,-0.384,
0.2304,-0.1152,-0.2304,-0.1152,0.2304,

1.0,1.0,1.0,1.0,1.0,
-0.8,-0.8,-0.8,-0.8,-0.8,
0.48,0.48,0.48,0.48,0.48,
0.8,0.4,0.0,-0.4,-0.8,
-0.64,-0.32,0.0,0.32,0.64,
0.384,0.192,0.0,-0.192,-0.384,
0.48,-0.24,-0.48,-0.24,0.48,
-0.384,0.192,0.384,0.192,-0.384,
0.2304,-0.1152,-0.2304,-0.1152,0.2304,

1.0,1.0,1.0,1.0,1.0,
0.8,0.4,0.0,-0.4,-0.8,
0.48,-0.24,-0.48,-0.24,0.48,
-0.8,-0.8,-0.8,-0.8,-0.8,
-0.64,-0.32,0.0,0.32,0.64,
-0.384,0.192,0.384,0.192,-0.384,
0.48,0.48,0.48,0.48,0.48,
0.384,0.192,0.0,-0.192,-0.384,
0.2304,-0.1152,-0.2304,-0.1152,0.2304,

1.0,1.0,1.0,1.0,1.0,
0.8,0.8,0.8,0.8,0.8,
0.48,0.48,0.48,0.48,0.48,
0.8,0.4,0.0,-0.4,-0.8,
0.64,0.32,0.0,-0.32,-0.64,
0.384,0.192,0.0,-0.192,-0.384,
0.48,-0.24,-0.48,-0.24,0.48,
0.384,-0.192,-0.384,-0.192,0.384,
0.2304,-0.1152,-0.2304,-0.1152,0.2304,

1.0,1.0,1.0,1.0,1.0,
-0.8,-0.4,0.0,0.4,0.8,
0.48,-0.24,-0.48,-0.24,0.48,
0.8,0.8,0.8,0.8,0.8,
-0.64,-0.32,0.0,0.32,0.64,
0.384,-0.192,-0.384,-0.192,0.384,
0.48,0.48,0.48,0.48,0.48,
-0.384,-0.192,0.0,0.192,0.384,
0.2304,-0.1152,-0.2304,-0.1152,0.2304,

1.0,1.0,1.0,1.0,1.0,
-0.8,-0.8,-0.8,-0.8,-0.8,
0.48,0.48,0.48,0.48,0.48,
-0.8,-0.4,0.0,0.4,0.8,
0.64,0.32,0.0,-0.32,-0.64,
-0.384,-0.192,0.0,0.192,0.384,
0.48,-0.24,-0.48,-0.24,0.48,
-0.384,0.192,0.384,0.192,-0.384,
0.2304,-0.1152,-0.2304,-0.1152,0.2304,

