1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,
-0.8,-0.5,-0.2,0.1,0.4,0.7,1.0,1.3,1.6,-0.8,-0.5,-0.2,0.1,0.4,0.7,1.0,-0.8,-0.5,-0.2,0.1,0.4,-0.8,-0.5,-0.2,-0.8,
-0.8,-0.6,-0.6,-0.4,-0.4,-0.2,-0.2,0.0,0.0,-0.4,-0.2,-0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.4,0.4,0.4,0.6,0.6,0.8,
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,
0.56,0.368,0.14,-0.052,-0.28,-0.472,-0.7,-0.892,-1.12,0.56,0.368,0.14,-0.052,-0.28,-0.472,-0.7,0.56,0.368,0.14,-0.052,-0.28,0.56,0.368,0.14,0.56,
0.56,0.008,-0.36,-0.512,-0.48,-0.232,0.2,0.848,1.68,0.56,0.008,-0.36,-0.512,-0.48,-0.232,0.2,0.56,0.008,-0.36,-0.512,-0.48,0.56,0.008,-0.36,0.56,
0.56,0.42,0.42,0.28,0.28,0.14,0.14,0.0,0.0,0.28,0.14,0.14,0.0,0.0,-0.14,-0.14,0.0,-0.14,-0.14,-0.28,-0.28,-0.28,-0.42,-0.42,-0.56,
0.56,0.12,-0.18,-0.32,-0.52,-0.36,-0.46,0.0,0.0,0.28,0.04,-0.06,0.0,0.0,0.36,0.46,0.0,-0.04,0.06,0.32,0.52,-0.28,-0.12,0.18,-0.56,
0.56,0.224,0.3,0.064,0.12,-0.016,0.02,-0.016,0.0,-0.16,-0.256,-0.18,-0.176,-0.12,-0.016,0.02,-0.4,-0.256,-0.18,0.064,0.12,-0.16,0.224,0.3,0.56,

1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
-0.8,-0.4,-0.8,-0.4,-0.8,-0.4,-0.8,-0.4,-0.8,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.8,1.2,0.8,1.2,0.8,1.6,2.0,1.6,2.4,
-0.8,-0.7,-0.8,-0.7,-0.8,-0.7,-0.8,-0.7,-0.8,-0.6,-0.5,-0.6,-0.5,-0.6,-0.5,-0.6,-0.4,-0.3,-0.4,-0.3,-0.4,-0.2,-0.1,-0.2,0.0,
-0.8,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6,0.8,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6,-0.4,-0.2,0.0,0.2,0.4,-0.2,0.0,0.2,0.0,
0.56,-0.14,0.56,-0.14,0.56,-0.14,0.56,-0.14,0.56,-0.54,-0.64,-0.54,-0.64,-0.54,-0.64,-0.54,-0.44,0.06,-0.44,0.06,-0.44,0.86,1.96,0.86,3.36,
0.56,0.088,0.56,0.088,0.56,0.088,0.56,0.088,0.56,-0.3,-0.532,-0.3,-0.532,-0.3,-0.532,-0.3,-0.68,-0.672,-0.68,-0.672,-0.68,-0.58,-0.332,-0.58,0.0,
0.56,0.428,0.56,0.428,0.56,0.428,0.56,0.428,0.56,0.3,0.208,0.3,0.208,0.3,0.208,0.3,0.12,0.068,0.12,0.068,0.12,0.02,0.008,0.02,0.0,
0.56,0.06,0.28,0.02,0.0,-0.02,-0.28,-0.06,-0.56,-0.3,-0.44,-0.1,0.0,0.1,0.44,0.3,-0.68,-0.46,0.0,0.46,0.68,-0.58,0.0,0.58,0.0,
0.56,0.36,0.28,0.12,0.0,-0.12,-0.28,-0.36,-0.56,0.3,0.16,0.1,0.0,-0.1,-0.16,-0.3,0.12,0.04,0.0,-0.04,-0.12,0.02,0.0,-0.02,0.0,
0.56,0.224,-0.16,-0.256,-0.4,-0.256,-0.16,0.224,0.56,0.3,0.064,-0.18,-0.176,-0.18,0.064,0.3,0.12,-0.016,-0.12,-0.016,0.12,0.02,-0.016,0.02,0.0,

1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
-0.8,-0.6,0.0,0.2,0.8,1.0,1.6,1.8,2.4,-0.8,-0.6,0.0,0.2,0.8,1.0,1.6,-0.8,-0.6,0.0,0.2,0.8,-0.8,-0.6,0.0,-0.8,
