37,44,9,43,
1,9,43,37,
38,45,10,44,
9,44,37,2,
2,10,44,38,
39,46,11,45,
10,45,38,3,
3,11,45,39,
40,47,12,46,
11,46,39,4,
4,12,46,40,
41,48,13,47,
12,47,40,5,
5,13,47,41,
13,48,41,6,
44,50,16,49,
9,44,49,43,
9,16,49,44,
45,51,17,50,
10,45,50,44,
16,50,44,10,
10,17,50,45,
46,52,18,51,
11,46,51,45,
17,51,45,11,
11,18,51,46,
47,53,19,52,
12,47,52,46,
18,52,46,12,
12,19,52,47,
13,48,53,47,
19,53,47,13,
50,55,22,54,
16,50,54,49,
16,22,54,50,
51,56,23,55,
17,51,55,50,
22,55,50,17,
17,23,55,51,
52,57,24,56,
18,52,56,51,
23,56,51,18,
18,24,56,52,
19,53,57,52,
24,57,52,19,
55,59,27,58,
22,55,58,54,
22,27,58,55,
56,60,28,59,
23,56,59,55,
27,59,55,23,
23,28,59,56,
24,57,60,56,
28,60,56,24,
59,62,31,61,
27,59,61,58,
27,31,61,59,
28,60,62,59,
31,62,59,28,
31,62,63,61,
65,71,44,70,
37,44,43,70,
37,44,70,65,
66,72,45,71,
38,45,44,71,
44,71,65,38,
38,45,71,66,
67,73,46,72,
39,46,45,72,
45,72,66,39,
39,46,72,67,
68,74,47,73,
40,47,46,73,
46,73,67,40,
40,47,73,68,
41,48,47,74,
47,74,68,41,
71,76,50,75,
44,50,49,75,
44,71,75,70,
44,50,75,71,
44,45,50,71,
72,77,51,76,
45,51,50,76,
45,72,76,71,
50,76,71,45,
45,51,76,72,
45,46,51,72,
73,78,52,77,
46,52,51,77,
46,73,77,72,
51,77,72,46,
46,52,77,73,
46,47,52,73,
47,53,52,78,
47,74,78,73,
52,78,73,47,
76,80,55,79,
50,55,54,79,
50,76,79,75,
50,55,79,76,
50,51,55,76,
77,81,56,80,
51,56,55,80,
51,77,80,76,
55,80,76,51,
51,56,80,77,
51,52,56,77,
52,57,56,81,
52,78,81,77,
56,81,77,52,
80,83,59,82,
55,59,58,82,
55,80,82,79,
55,59,82,80,
55,56,59,80,
56,60,59,83,
56,81,83,80,
59,83,80,56,
59,62,61,84,
59,83,84,82,
86,91,71,90,
65,71,70,90,
65,71,90,86,
87,92,72,91,
66,72,71,91,
71,91,86,66,
66,72,91,87,
88,93,73,92,
67,73,72,92,
72,92,87,67,
67,73,92,88,
68,74,73,93,
73,93,88,68,
91,95,76,94,
71,76,75,94,
71,91,94,90,
71,76,94,91,
71,72,76,91,
92,96,77,95,
72,77,76,95,
72,92,95,91,
76,95,91,72,
72,77,95,92,
72,73,77,92,
73,78,77,96,
73,93,96,92,
77,96,92,73,
95,98,80,97,
76,80,79,97,
76,95,97,94,
76,80,97,95,
76,77,80,95,
77,81,80,98,
77,96,98,95,
80,98,95,77,
80,83,82,99,
80,98,99,97,
101,105,91,104,
86,91,90,104,
86,91,104,101,
102,106,92,105,
87,92,91,105,
91,105,101,87,
87,92,105,102,
88,93,92,106,
92,106,102,88,
105,108,95,107,
91,95,94,107,
91,105,107,104,
91,95,107,105,
91,92,95,105,
92,96,95,108,
92,106,108,105,
95,108,105,92,
95,98,97,109,
95,108,109,107,
111,114,105,113,
101,105,104,113,
101,105,113,111,
102,106,105,114,
105,114,111,102,
105,108,107,115,
105,114,115,113,
111,114,113,118,
0,1,8,36,
1,9,8,43,
1,2,9,37,
2,10,9,44,
2,3,10,38,
3,11,10,45,
3,4,11,39,
4,12,11,46,
4,5,12,40,
5,13,12,47,
5,6,13,41,
6,14,13,48,
6,7,14,42,
8,9,15,43,
9,16,15,49,
9,10,16,44,
10,17,16,50,
10,11,17,45,
11,18,17,51,
11,12,18,46,
12,19,18,52,
12,13,19,47,
13,20,19,53,
13,14,20,48,
15,16,21,49,
16,22,21,54,
16,17,22,50,
17,23,22,55,
17,18,23,51,
18,24,23,56,
18,19,24,52,
19,25,24,57,
19,20,25,53,
21,22,26,54,
22,27,26,58,
22,23,27,55,
23,28,27,59,
23,24,28,56,
24,29,28,60,
24,25,29,57,
26,27,30,58,
27,31,30,61,
27,28,31,59,
28,32,31,62,
28,29,32,60,
30,31,33,61,
31,34,33,63,
31,32,34,62,
33,34,35,63,
1,37,43,36,
2,38,44,37,
3,39,45,38,
4,40,46,39,
5,41,47,40,
6,42,48,41,
36,37,43,64,
37,65,70,64,
37,38,44,65,
38,66,71,65,
38,39,45,66,
39,67,72,66,
39,40,46,67,
40,68,73,67,
40,41,47,68,
41,69,74,68,
41,42,48,69,
64,65,70,85,
65,86,90,85,
65,66,71,86,
66,87,91,86,
66,67,72,87,
67,88,92,87,
67,68,73,88,
68,89,93,88,
68,69,74,89,
85,86,90,100,
86,101,104,100,
86,87,91,101,
87,102,105,101,
87,88,92,102,
88,103,106,102,
88,89,93,103,
100,101,104,110,
101,111,113,110,
101,102,105,111,
102,112,114,111,
102,103,106,112,
110,111,113,116,
111,117,118,116,
111,112,114,117,
116,117,118,119,
8,43,36,1,
15,49,43,9,
21,54,49,16,
26,58,54,22,
30,61,58,27,
33,63,61,31,
43,70,64,37,
43,44,49,70,
49,75,70,44,
49,50,54,75,
54,79,75,50,
54,55,58,79,
58,82,79,55,
58,59,61,82,
61,84,82,59,
61,62,63,84,
70,90,85,65,
70,71,75,90,
75,94,90,71,
75,76,79,94,
79,97,94,76,
79,80,82,97,
82,99,97,80,
82,83,84,99,
90,104,100,86,
90,91,94,104,
94,107,104,91,
94,95,97,107,
97,109,107,95,
97,98,99,109,
104,113,110,101,
104,105,107,113,
107,115,113,105,
107,108,109,115,
113,118,116,111,
113,114,115,118,
6,14,48,42,
13,20,53,48,
19,25,57,53,
24,29,60,57,
28,32,62,60,
31,34,63,62,
41,48,74,69,
47,53,78,74,
47,48,53,74,
52,57,81,78,
52,53,57,78,
56,60,83,81,
56,57,60,81,
59,62,84,83,
59,60,62,83,
68,74,93,89,
73,78,96,93,
73,74,78,93,
77,81,98,96,
77,78,81,96,
80,83,99,98,
80,81,83,98,
88,93,106,103,
92,96,108,106,
92,93,96,106,
95,98,109,108,
95,96,98,108,
102,106,114,112,
105,108,115,114,
105,106,108,114,
111,114,118,117,
0,1,8,-1,
1,9,8,-1,
8,9,15,-1,
9,16,15,-1,
15,16,21,-1,
16,22,21,-1,
21,22,26,-1,
22,27,26,-1,
26,27,30,-1,
27,31,30,-1,
30,31,33,-1,
31,34,33,-1,
33,34,35,-1,
1,2,9,-1,
2,10,9,-1,
9,10,16,-1,
10,17,16,-1,
16,17,22,-1,
17,23,22,-1,
22,23,27,-1,
23,28,27,-1,
27,28,31,-1,
28,32,31,-1,
31,32,34,-1,
2,3,10,-1,
3,11,10,-1,
10,11,17,-1,
11,18,17,-1,
17,18,23,-1,
18,24,23,-1,
23,24,28,-1,
24,29,28,-1,
28,29,32,-1,
3,4,11,-1,
4,12,11,-1,
11,12,18,-1,
12,19,18,-1,
18,19,24,-1,
19,25,24,-1,
24,25,29,-1,
4,5,12,-1,
5,13,12,-1,
12,13,19,-1,
13,20,19,-1,
19,20,25,-1,
5,6,13,-1,
6,14,13,-1,
13,14,20,-1,
6,7,14,-1,
0,36,1,-1,
1,36,37,-1,
1,37,2,-1,
2,37,38,-1,
2,38,3,-1,
3,38,39,-1,
3,39,4,-1,
4,39,40,-1,
4,40,5,-1,
5,40,41,-1,
5,41,6,-1,
6,41,42,-1,
6,42,7,-1,
36,64,37,-1,
37,64,65,-1,
37,65,38,-1,
38,65,66,-1,
38,66,39,-1,
39,66,67,-1,
39,67,40,-1,
40,67,68,-1,
40,68,41,-1,
41,68,69,-1,
41,69,42,-1,
64,85,65,-1,
65,85,86,-1,
65,86,66,-1,
66,86,87,-1,
66,87,67,-1,
67,87,88,-1,
67,88,68,-1,
68,88,89,-1,
68,89,69,-1,
85,100,86,-1,
86,100,101,-1,
86,101,87,-1,
87,101,102,-1,
87,102,88,-1,
88,102,103,-1,
88,103,89,-1,
100,110,101,-1,
101,110,111,-1,
101,111,102,-1,
102,111,112,-1,
102,112,103,-1,
110,116,111,-1,
111,116,117,-1,
111,117,112,-1,
116,119,117,-1,
0,8,36,-1,
8,43,36,-1,
36,43,64,-1,
43,70,64,-1,
64,70,85,-1,
70,90,85,-1,
85,90,100,-1,
90,104,100,-1,
100,104,110,-1,
104,113,110,-1,
110,113,116,-1,
113,118,116,-1,
116,118,119,-1,
8,15,43,-1,
15,49,43,-1,
43,49,70,-1,
49,75,70,-1,
70,75,90,-1,
75,94,90,-1,
90,94,104,-1,
94,107,104,-1,
104,107,113,-1,
107,115,113,-1,
113,115,118,-1,
15,21,49,-1,
21,54,49,-1,
49,54,75,-1,
54,79,75,-1,
75,79,94,-1,
79,97,94,-1,
94,97,107,-1,
97,109,107,-1,
107,109,115,-1,
21,26,54,-1,
26,58,54,-1,
54,58,79,-1,
58,82,79,-1,
79,82,97,-1,
82,99,97,-1,
97,99,109,-1,
26,30,58,-1,
30,61,58,-1,
58,61,82,-1,
61,84,82,-1,
82,84,99,-1,
30,33,61,-1,
33,63,61,-1,
61,63,84,-1,
33,35,63,-1,
7,42,14,-1,
14,42,48,-1,
14,48,20,-1,
20,48,53,-1,
20,53,25,-1,
