134,168,133,
135,13,134,
136,15,135,
137,17,136,
138,19,137,
139,21,138,
140,23,139,
141,25,140,
142,27,141,
143,29,142,
144,31,143,
145,146,144,
13,167,168,
1,14,12,
15,34,13,
2,16,14,
17,36,15,
3,18,16,
19,38,17,
4,20,18,
21,40,19,
5,22,20,
23,42,21,
6,24,22,
25,44,23,
7,26,24,
27,46,25,
8,28,26,
29,48,27,
9,30,28,
31,50,29,
10,32,30,
146,147,31,
34,166,167,
14,35,33,
36,53,34,
16,37,35,
38,55,36,
18,39,37,
40,57,38,
20,41,39,
42,59,40,
22,43,41,
44,61,42,
24,45,43,
46,63,44,
26,47,45,
48,65,46,
28,49,47,
50,67,48,
30,51,49,
147,148,50,
53,165,166,
35,54,52,
55,70,53,
37,56,54,
57,72,55,
39,58,56,
59,74,57,
41,60,58,
61,76,59,
43,62,60,
63,78,61,
45,64,62,
65,80,63,
47,66,64,
67,82,65,
49,68,66,
148,149,67,
70,164,165,
54,71,69,
72,85,70,
56,73,71,
74,87,72,
58,75,73,
76,89,74,
60,77,75,
78,91,76,
62,79,77,
80,93,78,
64,81,79,
82,95,80,
66,83,81,
149,150,82,
85,163,164,
71,86,84,
87,98,85,
73,88,86,
89,100,87,
75,90,88,
91,102,89,
77,92,90,
93,104,91,
79,94,92,
95,106,93,
81,96,94,
150,151,95,
98,162,163,
86,99,97,
100,109,98,
88,101,99,
102,111,100,
90,103,101,
104,113,102,
92,105,103,
106,115,104,
94,107,105,
151,152,106,
109,161,162,
99,110,108,
111,118,109,
101,112,110,
113,120,111,
103,114,112,
115,122,113,
105,116,114,
152,153,115,
118,160,161,
110,119,117,
120,125,118,
112,121,119,
122,127,120,
114,123,121,
153,154,122,
125,159,160,
119,126,124,
127,130,125,
121,128,126,
154,155,127,
130,158,159,
126,131,129,
155,156,130,
156,157,158,
169,0,207,
170,1,0,
171,2,1,
172,3,2,
173,4,3,
174,5,4,
175,6,5,
176,7,6,
177,8,7,
178,9,8,
179,10,9,
180,11,10,
181,182,11,
11,183,32,
32,184,51,
51,185,68,
68,186,83,
83,187,96,
96,188,107,
107,189,116,
116,190,123,
123,191,128,
128,192,131,
131,193,132,
132,194,195,
129,132,196,
124,129,197,
117,124,198,
108,117,199,
97,108,200,
84,97,201,
69,84,202,
52,69,203,
33,52,204,
12,33,205,
0,12,206,
133,-1,-1,
134,-1,-1,
135,-1,-1,
136,-1,-1,
137,-1,-1,
138,-1,-1,
139,-1,-1,
140,-1,-1,
141,-1,-1,
142,-1,-1,
143,-1,-1,
144,-1,-1,
145,-1,-1,
145,-1,-1,
146,-1,-1,
147,-1,-1,
148,-1,-1,
149,-1,-1,
150,-1,-1,
151,-1,-1,
152,-1,-1,
153,-1,-1,
154,-1,-1,
155,-1,-1,
156,-1,-1,
157,-1,-1,
157,-1,-1,
158,-1,-1,
159,-1,-1,
160,-1,-1,
161,-1,-1,
162,-1,-1,
163,-1,-1,
164,-1,-1,
165,-1,-1,
166,-1,-1,
167,-1,-1,
168,-1,-1,
133,-1,-1,
